model,model_map
-0.5984050035476685,555
-0.5964885950088501,556
-0.5945721864700317,557
-0.5926557779312134,558
-0.5907393097877502,559
-0.5888229012489319,560
-0.5869064927101135,561
-0.5849900245666504,562
-0.583073616027832,563
-0.5811572074890137,564
-0.5792407989501953,565
-0.5773243308067322,566
-0.5754079222679138,567
-0.5734915137290955,568
-0.5715750455856323,569
-0.569658637046814,570
-0.5677422285079956,571
-0.5658257603645325,572
-0.5639093518257141,573
-0.5619929432868958,574
-0.5600765347480774,575
-0.5581600666046143,576
-0.5562436580657959,577
-0.5543272495269775,578
-0.5524107813835144,579
-0.550494372844696,580
-0.5485779643058777,581
-0.5466615557670593,582
-0.5447450876235962,583
-0.5428286790847778,584
-0.5409122705459595,585
-0.5389958024024963,586
-0.537079393863678,587
-0.5351629853248596,588
-0.5332465767860413,589
-0.5313301086425781,590
-0.5294137001037598,591
-0.5274972915649414,592
-0.5255808234214783,593
-0.5236644148826599,594
-0.5217480063438416,595
-0.5198315978050232,596
-0.5179151296615601,597
-0.5159987211227417,598
-0.5140823125839233,599
-0.5121658444404602,600
-0.5102494359016418,601
-0.5083330273628235,602
-0.5064165592193604,603
-0.504500150680542,604
-0.5025837421417236,605
-0.5006673336029053,606
-0.4987508952617645,607
-0.4968344569206238,608
-0.494918018579483,609
-0.4930016100406647,610
-0.4910851716995239,611
-0.4891687631607055,612
-0.4872523248195648,613
-0.4853359162807464,614
-0.4834194779396057,615
-0.4815030395984649,616
-0.4795866310596466,617
-0.4776701927185058,618
-0.4757537841796875,619
-0.4738373458385467,620
-0.471920907497406,621
-0.4700044989585876,622
-0.4680880606174469,623
-0.4661716520786285,624
-0.4642552137374878,625
-0.4623388051986694,626
-0.4604223668575287,627
-0.4585059285163879,628
-0.4565895199775696,629
-0.4546730816364288,630
-0.4527566730976105,631
-0.4508402347564697,632
-0.4489238262176513,633
-0.4470073878765106,634
-0.4450909495353699,635
-0.4431745409965515,636
-0.4412581026554107,637
-0.4393416941165924,638
-0.4374252557754516,639
-0.4355088174343109,640
-0.4335924088954925,641
-0.4316759705543518,642
-0.4297595620155334,643
-0.4278431236743927,644
-0.4259267151355743,645
-0.4240102767944336,646
-0.4220938384532928,647
-0.4201774299144745,648
-0.4182609915733337,649
-0.4163445830345154,650
-0.4144281446933746,651
-0.4125117063522339,652
-0.4105952978134155,653
-0.4086788594722748,654
-0.4067624509334564,655
-0.4048460125923157,656
-0.4029296040534973,657
-0.4010131657123565,658
-0.3990967273712158,659
-0.3971803188323974,660
-0.3952638804912567,661
-0.3933474719524383,662
-0.3914310336112976,663
-0.3895145952701568,664
-0.3875981867313385,665
-0.3856817483901977,666
-0.3837653398513794,667
-0.3818489015102386,668
-0.3799324929714203,669
-0.3780160546302795,670
-0.3760996162891388,671
-0.3741832077503204,672
-0.3722667694091797,673
-0.3703503608703613,674
-0.3684339225292206,675
-0.3665175139904022,676
-0.3646010756492615,677
-0.3626846373081207,678
-0.3607682287693023,679
-0.3588517904281616,680
-0.3569353818893432,681
-0.3550189435482025,682
-0.3531025052070617,683
-0.3511860966682434,684
-0.3492696583271026,685
-0.3473532497882843,686
-0.3454368114471435,687
-0.3435204029083252,688
-0.3416039645671844,689
-0.3396875262260437,690
-0.3377711176872253,691
-0.3358546793460846,692
-0.3339382708072662,693
-0.3320218324661255,694
-0.3301053941249847,695
-0.3281889855861664,696
-0.3262725472450256,697
-0.3243561387062073,698
-0.3224397003650665,699
-0.3205232918262481,700
-0.3186068534851074,701
-0.3166904151439667,702
-0.3147740066051483,703
